тот;103;0,043947
должен;103;0,043947
много;102;0,0435204
комнаты;102;0,0435204
тебя;101;0,0430937
Михайловна;100;0,042667
говорили;100;0,042667
могла;99;0,0422404
нас;99;0,0422404
свой;99;0,0422404
здесь;99;0,0422404
эта;98;0,0418137
лошадь;98;0,0418137
нельзя;97;0,041387
лице;97;0,041387
обратился;96;0,0409603
люди;96;0,0409603
государя;96;0,0409603
Княжна;95;0,0405337
солдат;95;0,0405337
чувство;94;0,040107
совершенно;94;0,040107
двери;94;0,040107
жизнь;94;0,040107
стоял;94;0,040107
Всё;93;0,0396803
les;93;0,0396803
чтоб;92;0,0392537
je;92;0,0392537
одно;91;0,038827
тут;91;0,038827
дома;91;0,038827
lle;90;0,0384003
комнату;90;0,0384003
совсем;90;0,0384003
Ежели;90;0,0384003
сделать;90;0,0384003
своем;89;0,0379737
такое;89;0,0379737
видеть;89;0,0379737
ту;88;0,037547
уж;88;0,037547
Все;88;0,037547
долго;87;0,0371203
продолжал;87;0,0371203
приехал;87;0,0371203
тогда;87;0,0371203
Они;86;0,0366936
такой;86;0,0366936
ne;86;0,0366936
которым;86;0,0366936
этим;85;0,036267
друга;85;0,036267
Bourienne;85;0,036267
pas;85;0,036267
одна;84;0,0358403
той;84;0,0358403
одного;84;0,0358403
очевидно;84;0,0358403
всю;84;0,0358403
дела;83;0,0354136
комнате;83;0,0354136
С;83;0,0354136
голосом;83;0,0354136
Павловна;83;0,0354136
un;82;0,034987
первый;82;0,034987
сделал;82;0,034987
сидел;82;0,034987
кого;82;0,034987
чувствовал;82;0,034987
государь;82;0,034987
дверь;82;0,034987
одной;82;0,034987
прямо;82;0,034987
против;81;0,0345603
собой;81;0,0345603
Денисова;81;0,0345603
несмотря;81;0,0345603
те;81;0,0345603
проговорил;81;0,0345603
Москве;81;0,0345603
сына;80;0,0341336
пошел;79;0,033707
закричал;79;0,033707
своими;79;0,033707
лицом;78;0,0332803
тотчас;78;0,0332803
своему;78;0,0332803
княгиня;78;0,0332803
делать;78;0,0332803
Граф;77;0,0328536
почти;77;0,0328536
давно;77;0,0328536
кроме;76;0,0324269
весело;76;0,0324269
знаете;76;0,0324269
моя;76;0,0324269
d;76;0,0324269
Бог;75;0,0320003
времени;75;0,0320003
Ростовых;75;0,0320003
какой;75;0,0320003
Андрею;74;0,0315736
можно;74;0,0315736
il;74;0,0315736
таким;74;0,0315736
вошел;74;0,0315736
старый;74;0,0315736
остановился;73;0,0311469
